country,CPI_2015,Risk_Dec_15,Risk_Nov_14,year,electric_percap,food_prod_index,percent_forest,gdp,income_bottom_20,literacy_male,literacy_female,childmort,net_migration,pop,undernourish,school_complete,researchers,rural_pop,total_debt,urban_pop,row_na
Montenegro,56,,,2012,5415.71798949728,60.28,61.486988847583596,4087725812.6686397,7.7,,,5.6,-3112.0,620601.0,2.5,99.61041259765629,,35.196,13.677624392976501,402174.0,5
Morocco,64,68.8,67.3,2012,876.84523910157,123.11,12.673089849876805,98266306615.3632,,80.38336181640629,87.7834014892578,29.2,-307108.0,33241898.0,4.6,97.89938354492192,847.93421,40.858,10.9206721237856,19659923.0,1
Mozambique,69,53.3,56.0,2012,459.9670960229181,158.62,49.0337994592309,15265269710.6404,,,,92.2,-25000.0,24862648.0,28.6,50.90840911865229,,67.154,1.8081335881177,8166385.0,4
Myanmar,78,63.3,62.8,2012,156.009007560592,125.39,46.9726697064227,59937797559.3295,,,,59.0,-474278.0,51413698.0,13.9,,,70.734,12.086695742644801,15046733.0,5
Namibia,47,72.0,75.8,2012,1660.75568256375,91.4,8.67446476655401,13016272898.9038,,,,52.1,-1371.0,2194784.0,33.5,85.3634872436523,,56.307,,958967.0,5
Nepal,73,,,2012,120.897246529086,140.02,25.364492500872,18851513891.066,,,,42.4,-372369.0,26989862.0,9.2,102.13207244872999,,82.542,10.257589249208902,4711890.0,6
Netherlands,16,81.5,81.0,2012,6876.589752934089,111.54,11.0972720108847,838971306990.9059,9.1,,,4.2,62687.0,16754962.0,2.5,,4362.06383,11.412,,14842886.0,4
New Zealand,9,81.3,83.0,2012,9360.949161770379,110.66,38.55303782851011,176193696737.934,,,,6.0,90895.0,4408100.0,2.5,,,13.839,,3798063.0,6
Nicaragua,73,64.8,64.8,2012,569.324730055498,128.74,25.8766827322586,10532001129.67,,,,20.7,-135000.0,5982526.0,19.0,,,42.691,13.207473011482401,3428526.0,5
Niger,66,49.5,55.8,2012,49.3391725888191,140.05,0.9309228319032758,6942258305.19085,,39.058689117431605,31.6439094543457,109.9,-28497.0,17795191.0,10.6,47.819850921630895,,83.788,2.63434232167691,2884956.0,2
Nigeria,74,61.8,62.5,2012,156.797185498593,112.61,9.0273063503272,459376049763.999,,,,119.9,-300000.0,167228767.0,6.7,,,54.754,1.3441937512685,75664328.0,5
North Korea,92,56.0,55.8,2012,652.967757408567,102.4,44.9464330205132,,,,,25.7,-27013.0,24800612.0,41.6,,,39.262,,15063396.0,7
Norway,12,87.0,90.0,2012,24070.9859157175,101.64,33.1449675227796,510229136226.9021,9.4,,,3.0,221814.0,5018573.0,2.5,99.77059936523442,5554.86056,20.126,,4008535.0,3
Oman,55,74.5,81.0,2012,6176.90705251443,124.25,0.00646203554119548,76689206762.0286,,,,11.4,817500.0,3498029.0,5.1,101.114433288574,174.2205,22.436,,2713211.0,4
Pakistan,70,61.3,58.5,2012,427.847975887631,120.58,2.07684723951847,224383620829.57,,69.8582229614258,64.47409820556639,86.6,-1181920.0,187281475.0,21.0,72.1812286376953,,64.592,15.328542572662101,66312625.0,2
Panama,61,73.5,71.8,2012,1955.3792687894602,116.32,62.768364209207704,40429700000.0,3.2,,,18.9,28105.0,3770624.0,10.5,100.55016326904301,37.63645,34.259,,2478846.0,3
Papua New Guinea,75,69.0,64.8,2012,,117.17,74.1231251104094,21295834133.2309,,,,62.9,-1001.0,7631002.0,,,,87.01799999999999,7.0503443774227,990657.0,7
Paraguay,73,67.5,69.5,2012,1359.0257247825698,128.98,41.0249186894349,33283228891.0923,4.2,94.81725311279301,98.10376739501949,24.6,-86700.0,6421512.0,12.0,89.08831787109379,169.45648,40.093,16.034758544331602,3846935.0,0
Peru,64,68.5,71.5,2012,1238.08799520978,142.35,58.184216308593705,192648999090.082,4.4,96.9501266479492,98.67575073242192,18.5,-240000.0,29506788.0,9.5,94.0094223022461,,23.196,12.426168396110802,22662393.0,1
Philippines,65,72.5,72.3,2012,664.121469473959,120.59,24.5497534963276,250092092998.143,6.1,,,30.4,-650000.0,97212638.0,14.1,,,54.288,7.60316146050266,44437841.0,4
Poland,37,78.0,75.3,2012,3899.1766422780797,108.62,30.6034889642251,500360816827.883,8.0,,,5.4,-73997.0,38063164.0,2.5,94.4144668579102,1748.57357,39.346,,23086831.0,3
Portugal,36,75.0,73.3,2012,4736.35177088695,99.06,35.1151867143998,216368178659.447,6.5,,,3.7,-140000.0,10514844.0,2.5,,4016.15185,38.237,,6494283.0,4
Qatar,29,78.3,82.3,2012,14853.324614744299,147.58,0.0,186833516483.516,,,,8.7,602000.0,2196074.0,,,570.47225,1.3030000000000002,,2167459.0,6
Romania,54,70.5,71.5,2012,2604.2431374758303,85.95,28.925310417979997,171196268957.961,5.3,,,11.1,-299997.0,20058035.0,2.5,94.66046142578129,893.15216,46.026,31.406689501729804,10826124.0,2
Russia,71,64.5,64.3,2012,6617.13624077975,124.72,49.7685798629408,2210256976944.74,6.3,,,9.8,1017884.0,143201676.0,2.5,97.9548110961914,3090.69275,26.209,7.85316580531965,105669949.0,2
Rwanda,46,,,2012,,162.16,18.6299151237745,7334917696.72263,,72.445182800293,83.4873886108398,52.2,-79101.0,10549678.0,32.3,69.9070281982422,,83.057,2.0066394013974898,1787432.0,5
Sao Tome and Principe,58,,,2012,,107.93,55.8333317438761,252560556.021848,,94.95616912841801,96.3508834838867,40.5,-5599.0,188404.0,14.8,,,32.84,33.4601572248314,126532.0,6
Saudi Arabia,48,72.0,78.8,2012,8502.775166559559,103.82,0.454484134921779,735974843360.0,,,,10.5,1590000.0,29155187.0,5.7,106.398017883301,,17.48,,24058860.0,5
Senegal,56,62.0,62.8,2012,215.490370050241,127.0,43.5932062535709,17825417949.4231,,,,59.0,-99996.0,13401991.0,12.7,59.448570251464794,,55.397,7.567126538779402,5977690.0,4
Serbia,60,62.8,63.0,2012,4386.5345515821,94.79,31.0519100026084,43309252921.0567,,,,7.1,-99999.0,7199077.0,6.1,98.01016235351558,1643.3742,44.644,38.70768013860229,3985121.0,3
Seychelles,45,,,2012,,107.98,88.41303949770719,1060226125.6261599,,,,14.4,-2201.0,88303.0,,109.748168945313,,45.88,,47790.0,9
Sierra Leone,71,56.3,61.5,2012,,164.28,39.5289547128274,3801862611.36414,,,,145.6,-21000.0,6712581.0,24.5,62.6594314575195,,60.358,1.66808625469337,2661001.0,5
Singapore,15,86.5,87.0,2012,8673.98521620115,104.97,23.1586412674823,295087220933.024,,98.4694595336914,99.8929595947266,2.8,337932.0,5312437.0,,,6477.1901,0.0,,5312437.0,4
Slovakia,49,72.5,74.3,2012,5137.78901796904,76.86,40.3302300612219,93413992955.8972,8.6,,,6.6,11346.0,5407579.0,3.9,93.17749786376949,2819.03317,45.72,,2935234.0,3
Slovenia,40,71.0,70.0,2012,6718.97505248744,87.69,61.9189235256802,46352802765.5763,9.4,,,2.9,16571.0,2057159.0,2.5,101.42976379394501,4311.80505,46.892,,1092516.0,3
Somalia,92,42.3,37.3,2012,,110.65,10.5100900665409,,,,,148.9,-226869.0,12715510.0,,,,58.442,,5284312.0,9
South Africa,56,67.0,67.3,2012,4365.919259764621,119.47,7.61773652408313,396327875200.974,,94.9637222290039,99.2707138061523,47.1,806500.0,52834005.0,4.5,,403.45511,36.728,7.8619433062018,33429132.0,2
South Korea,46,81.3,81.5,2012,10305.3289817402,99.3,63.7837817766673,1222807284485.31,7.3,,,3.8,169634.0,50199853.0,2.5,109.54377746582001,6317.81813,18.149,,41089082.0,3
South Sudan,85,,,2012,41.429169912693204,,,10368813559.322,,,,98.6,425000.0,10113647.0,,,,81.783,,1842403.0,11
Spain,42,73.0,70.5,2012,5573.40118151359,93.01,36.6155628698447,1336018949805.58,6.1,98.6065292358398,99.70571899414058,3.6,-570000.0,46773055.0,2.5,102.08788299560499,2705.60249,21.098000000000006,,36904876.0,1
Sri Lanka,63,67.5,62.3,2012,524.3084455324359,124.86,33.3248293546186,68434409315.1123,7.1,,,10.8,-484772.0,20425000.0,12.3,97.5689163208008,,81.804,14.790226550336499,3716533.0,3
Sudan,88,48.0,50.0,2012,156.942337738062,,,68125631150.2939,,,,72.9,-589384.0,36193783.0,25.4,57.77799987792971,,66.654,7.129929882969591,12069179.0,6
Suriname,64,69.8,72.0,2012,3314.58027325888,145.7,98.3551307091346,4980000000.0,,94.869873046875,97.2596588134766,23.0,-5000.0,541245.0,8.2,88.2848129272461,,33.792,,358347.0,3
